Event, mu_E, mu_Px, mu_Py, mu_Pz, B1_E, B1_Px, B1_Py, B1_Pz, B2_E, B2_Px, B2_Py, B2_Pz, J1_E, J1_Px, J1_Py, J1_Pz, J2_E, J2_Px, J2_Py, J2_Pz, J3_E, J3_Px, J3_Py, J3_Pz
1122, 60269.8, 9177.01, 31978.8, 50255.2, 428361, -95285, -40893.7, -415385, 77110.4, 30538.6, 66581.5, -22561.7, 49409.2, 33812, 3826.36, 35202.2, 123931, 20343.3, -27171.8, -119081, 71192.1, 2753.13, -25129.6, -66447.7
1139, 127855, -44833.5, -119103, 12294.5, 95740.8, 40600.5, -6568.88, 86033.2, 183857, -3763.33, -31098.1, -181055, 184703, 92770.7, 135670, -82333.6, 252382, -64788, 39036.6, -240391, 68283.1, 27113.5, -40282.5, -47701.5
1157, 94333.3, 62611.7, 38242.6, -59296.2, 90933.6, -22151.8, -87452.1, 1554.74, 47520.8, 3771.83, -28223.2, -37987.5, 105124, -78760.6, -3743.74, -69055.4, 45058.2, 12881.8, 40781.4, -11928.7, 221541, 18803.3, -33846.8, 218090
1192, 92265.8, -84632.3, -25990.1, -25977.9, 153423, 95885.3, 61994.3, -99708.9, 29006.5, 26247.8, -10544.5, 4087.83, 87894.4, -51202.8, -60209.6, -35115.7, 77120, 5700.03, 61942.2, -44649.9, 156498, -16184.5, -19730, 154360
1199, 80214.5, -47640.6, -41951.8, 49038.6, 219203, 114067, 34487.3, 183632, 102725, 26601.3, -13211.7, -98221.7, 119370, -51515.5, 83302.7, -66967.2, 149465, -45491.9, 2751.22, -142002, 61954.6, 6357.83, 39760, -45616.9
1226, 56969.9, 18336.7, 47312.6, 25900.6, 72396.2, 69139, -5584.16, -16596.8, 47864.6, 13812.4, -39052.9, 23356.3, 147547, -59514.7, -55343.6, 122450, 212699, 50236.4, -20733, 205521, 75147.9, -42714.9, -8492.22, 60742.5
1227, 95062.1, -52494.1, -70159.4, 36862.2, 393633, 106487, 102139, -364450, 99510.4, -80172.7, -57329, 1548.97, 88777.5, 4655.25, -87530.1, 859.12, 89560, 4601.75, 41116.1, -79247.3, 36638.8, -8885, 34824.7, -5059.5
1267, 47427.4, -37097.4, -28957.9, 5880.35, 246857, 65273.8, 153516, 180638, 65474, -64680.8, -5015.05, -32.8571, 163315, 32887.4, 14140.3, 159254, 36247.9, 33281.1, 4088.67, 12828, 64496.8, 21873.6, 16758.5, 58106.7
1274, 133709, -24149.6, 46223.4, -123119, 64556.1, 30534.1, 54307.5, -14654.3, 32854.7, 3282.52, -30970.8, -8526.96, 91955.1, 48395.8, -75243.7, 19113.4, 76952.2, 62814.1, -39365.2, 17817.8, 273138, 43211.3, -57615, -263084
1287, 71639.5, 1332.78, -47199.7, 53875.9, 214982, 22223.1, 89289.9, -194074, 59493.7, 28776.1, -25523.1, -44753.1, 182040, 21888.1, -52181.3, -172887, 112036, -17331.3, -34792.1, -104830, 47901.5, -13725.8, 22033.8, -40215.5
1294, 192857, -17088.4, -50715, -185283, 117747, 62941, -21750.2, -96744.7, 30316.8, -24456.3, -14644.3, 8702.19, 156580, 46426.3, 80264.7, -126075, 73433.1, 9267.26, 68694.8, -21754.5, 90039.3, -34926.6, 48744.5, -66945.5
1313, 154423, 17945.9, 23878.2, -151506, 101873, -47837, 78615.6, -43020.8, 107006, 58558.2, -27049.6, -85049.2, 293834, 3808.13, -112796, -270527, 41742.1, -39482.8, 463.855, 12925.5, 33687.4, 32484.7, 343.041, -7877.43
1320, 47141.3, 11156, 39861, -22559.6, 90743.9, 37173.2, 43701.4, 69149.6, 44762.3, -40497.8, -9829.52, 15020.2, 81451.7, -55684.7, 53985.1, -22386.7, 189312, -13622.8, -65072, -177000, 40901.1, 9577.95, -27157, -28593.6
1326, 82787.6, 25032.3, -75238.6, -23797.3, 88845.5, -83026.2, 15054.4, -24503.7, 69957.6, -58486.1, -6772.56, 36923.9, 69800.4, 38234.4, 41933.5, 39092.1, 70674.2, 31466.5, -17466.7, 60657, 35745.4, 22066.5, 17674.7, -21194.8
1336, 226520, -185299, -71026.7, 109227, 104687, 76528.6, 55971.3, 42595.9, 87078.4, 3840.93, -48035.9, 72281.2, 311684, 170876, -8995.94, -259532, 86289.8, -27720.2, 14572.6, 80115, 29113.9, 9458.38, 26246.2, 6782.27
1340, 110341, 93357.8, 3980.4, -58681.7, 119893, 20962.8, -40845.2, -110531, 47901.6, -45535.6, -2123.08, 10158.6, 100624, -49000.7, 41300.3, -76739.6, 60671.1, -41227.3, -41536.7, 12392.4, 48051.8, -10714.9, 41229.9, 20752
1343, 38829.8, -32085.2, 7317.37, 20609.3, 191404, 139147, 13979.1, 129987, 48112.2, -39080.9, -26638.4, -1236.6, 146571, -29462.9, -119767, -78958.1, 114716, -37637.9, 91571.8, 57121, 39440.8, -33440.7, 1359.47, -19938
1344, 70420.6, 48436.9, -7422.82, -50574.9, 445236, 23042.7, -98111.2, 433497, 62115.2, -32281, 48710.4, -18725.6, 94544.3, -5463.86, -42742.7, -83741.2, 76937.3, -34023.9, 16296.8, 66408.6, 60557, -27350.6, -3564.15, 53656.2
1381, 241277, 52045.8, 42766.5, 231683, 228384, 122570, 37001.9, 188796, 280671, -45291.5, 29816.7, 275260, 335031, -86548.8, -67563.7, 316095, 311909, -32414.8, -72874, 301355, 31503.8, 25457.6, 18165.5, 1754.81
1423, 43091.1, -23927.6, 33510.2, 12702.9, 196513, 17848.1, -78208.5, 179080, 79681.1, -33544.7, 71327.4, -6978.82, 54944.9, -42564.7, -17950.7, -29181.6, 54750.9, 36504.6, 20209.9, 35042, 31628.1, -30156.4, 5133.52, -4616.66
1440, 376266, -71119.2, 74753, -361843, 138136, -39578.7, -38665, -126404, 101821, 13879.8, 28903.5, -96504, 53343.8, 44883.9, 27120.2, 6375.94, 35354.9, 12235.4, -26489.8, 19552.3, 72627.8, 25866.4, -297.01, 67712.9
1446, 134899, 70516.9, 6069.54, 114840, 185528, 32573.3, -47346, 176266, 66610.4, 34228.1, 27557.3, 49672.8, 186361, -99628.9, 48637.7, 149660, 66651.1, -52098.6, -20883.5, 34437.9, 86195.7, 30279.7, -12941.3, -79498
1450, 79284.1, 78363.9, -11135.6, 4589.76, 130219, 100339, -69400, -43133.6, 46026.5, -42454.5, 2642.77, 16355.1, 392135, -137231, 128995, 343766, 124753, -69629.9, -13078.7, -102499, 49158.7, -16043.7, -29285.7, 35932.3
1478, 173218, 132701, -80094.4, -77329.4, 85248.7, -57041.6, 33652.1, -53264.6, 102068, -36523.4, -12276.4, -94330.2, 342996, -110295, 205805, -248589, 58699.1, 17295.8, -31052.1, 46543.4, 28420.5, 18357.7, -21183.5, -2909.73
1491, 179575, -71841.4, -44873.6, -158342, 177889, 46463.6, -3.6782, -171696, 32790.9, 28721.6, -15029.4, 2269.85, 106824, 53588.1, 48542.2, 78329.4, 84107.6, -65094.7, -4723.09, -52924.3, 52422.3, -12373.2, 35075, -36706.6
1492, 53318.7, 18088.6, -46101.5, 19756.6, 116633, -78351.6, 66560.1, -54757, 45148.8, 38547.5, -18912.4, 11417.9, 57912.9, 22995.8, 39670.8, -34648, 42573.7, 22465.7, 17416, -31128, 28081.5, 8483.03, -25680.5, -6740.2
1494, 69502.5, 63506.2, 19847.9, 20090, 256775, 42173.7, 90578, 236196, 108969, -52575.7, 10555, 94625.9, 457848, -14875.6, -171465, -423940, 107007, -28046.1, 36342.8, 96296.2, 29654, 5589.39, -25222.7, 14082.3
1518, 50559.7, 25767.2, 13319.1, -41411.7, 203138, -49050.7, 8763.27, -196745, 43128.5, -7538.25, 26429.1, 32740.3, 82779.9, 63618.5, 33793.1, 39746.3, 93579.1, 46467.8, -24225.4, 76921.2, 39918.3, -13431.2, -31214.3, -19562.4
1562, 335274, -60363.2, 27903.3, -328612, 52492.4, 3362.18, 43614.1, -27592.8, 37610.4, -2865.93, -34502.1, -13984.8, 239358, 227630, 28100.2, 66552.1, 196629, -51340.3, 3481.38, 189543, 115689, -28386.1, -14433, 111067
1569, 76244, -27099.2, 27718.3, 65654.1, 91918, -16123.6, 79537, 42161.2, 44616.7, 31596.2, 30507, 4239.23, 130397, -10843, -122632, -38202.9, 57645.2, -38581.6, -38939.1, -13579.7, 30516.3, -25085.4, 14882, 5348.85
1580, 41289.2, 17143.5, 36702.8, 7987.06, 43504.4, 42413.1, -5338.25, -5255.48, 55252.7, 17358.2, 31535.9, -41524.2, 81108.5, -50453.2, 55504.2, -29908, 97054, -31092.2, -58199.3, 70513.9, 73133.7, 17854.1, -37252.2, 59716.3
1593, 101143, -44181.8, 53792.7, 73376.9, 181880, -54759.6, 140375, 101390, 140605, 87519.5, -95589.3, -52726, 121296, 61353.1, 16796.9, -103094, 71497.2, -31598.5, -37605.7, -51519.3, 33391.7, 12967.9, -26783.3, 13761.6
1608, 202884, -22260.9, -91797.4, -179553, 116958, -51873.8, 29886.7, -100205, 223269, 45621.1, -35296, -215620, 79457.7, 25558.6, 74354.8, 6026.51, 71797.8, 68041.6, -7497.51, 20266.2, 299397, -2493.05, 57173.7, -293777
1609, 69709.4, -41753.9, -47260.7, 29705.7, 148832, -11394.7, -112741, -95790.9, 65007.1, 40067.9, -9549.81, 49916.5, 182698, 95964.8, 107410, 111402, 90327.8, -62313.2, 23027.3, 60565.3, 38278.9, 31195.5, 17695.8, 12848.5
1631, 77934.9, -1247.05, -28299.9, -72604.4, 145690, -83991.3, 107232, -49905.6, 34476.2, 15158.2, -24774.2, 17882.1, 36862.1, 28563.4, -12005.6, -19027.3, 30948.6, -14179.5, -25826.7, -8001.57, 27748.8, 20199.1, -17795.5, 3741.8
1636, 177555, -62183.2, -14411.3, 165685, 103784, -85309.6, -5191.55, 57862.2, 186311, -19407.6, 71286.9, -170758, 211755, 59699, -54474.3, 195313, 72617.5, 32598.1, 63263.2, 11654.1, 82791.8, 6333.95, 26207.2, 78026.4
1641, 502486, 153632, -21945.9, -477921, 174467, 15413.8, 49197.4, -166482, 70840.5, 41420.7, 18833.9, -53713.1, 1.04847e+06, -240707, -50753.1, -1.01907e+06, 88044.3, -73447.5, -4944.97, -47051, 71040.5, -15897.8, 24996.9, 64279.8
1650, 46731.4, -35961.8, -16276.6, -25012.6, 148474, -70351.3, -12256.9, -129979, 78870.2, 43258.6, 28567.4, -59038.8, 206725, 90118.2, -55991.9, -177236, 125582, 58299.5, -23838.2, 108502, 145670, 2520.86, 27819.7, -142911
1656, 147865, -77103.8, 83882.2, -94249.3, 77605.9, -66570.8, -34144.7, -18305.1, 122114, 22055.4, -63919.9, -101299, 98752.8, 92177.9, 20814.3, -23832.5, 47419.8, 28127.3, -37118.6, -8457.21, 59789.3, -17774.3, 31655.7, 47375.9
1659, 177514, 1882.11, 59450.8, 167252, 34611.4, 29649.5, -16691.8, -5308.54, 48064.1, -28893.7, 17185.7, 34257.7, 114621, -16326, -90108.3, 68583.5, 27934.4, 17900.8, -20552.1, 5165.94, 39658.6, 25480, -5104.99, 29795.2
1686, 175573, 10457.4, -76499, 157685, 269642, -36800.6, 124560, 235642, 83840.3, 47890.7, -52047.9, 43189.5, 152017, -65537.8, 95609.9, 97812.3, 66841.7, 40786.3, -16391.8, 49629.9, 41299.6, 26604.8, 28418.5, 11124.2
1764, 198686, -22857.5, 31535.2, -194831, 230302, 28514.6, 132022, -186168, 72558.8, -60672.6, -16260, -35237, 84077.8, 40694, -63513, -35327.3, 76350.3, 5414, -36243.1, 66787, 106834, 21815.4, -29417.5, -100129
1767, 126585, 86010.9, -13515.3, 91887.1, 302301, -29076.3, 99290.8, 283271, 155301, 56238.5, -74595, 123658, 68144.6, -28177.3, -40624.4, 46519.8, 85881.1, -28392.8, 12955.7, 79791.6, 61705.8, 18752.6, 21892.8, 54222.9
1771, 33406.8, 28451.7, -7769.53, 15688.9, 230776, 82567.2, -112073, 183681, 49732.9, -5630.21, -37274.8, -32072.1, 361530, 3451.72, 220249, 285649, 56376.1, -9865.48, -40782.3, 36858, 86459.5, -38263.4, 14327.6, 76045.5
1780, 36590.6, -13152.7, 24233.1, -24054.6, 244170, 108459, 22925.2, -217279, 85571.8, -12081.9, -83620.4, 5575.19, 315210, 57529.5, 78598, -299500, 39680.2, -32525.6, -17450.6, 12468.6, 102766, 5456.73, -26541.8, -99045.5
1782, 101080, 57488.2, -64297.6, 52707.3, 140708, 5272.97, 138661, -19594.6, 117853, -38373.9, -88781.5, 66250, 221078, -84364.8, 196719, 53656.3, 203041, -19628.1, 172923, 103775, 200340, -1419.5, -51011.7, 193659
1790, 79594.8, -14228.7, -24734.3, 74303.9, 183400, -165704, -36702.8, 68423.6, 86467.9, 78023.7, 19046.1, 30096, 101290, 71186.2, -58438.7, -41518.1, 110308, 76910.3, 25098.9, -74749.6, 31152.7, -6174.9, 27252.2, -13268.6
1797, 74451.8, 39243.9, -45347.6, -44119.9, 98325.8, -54376.9, -49854.5, -64059.6, 82310.4, 38841.3, 44425.9, -56285, 289648, -131897, 236991, 97675.9, 152774, 69815.7, -132212, -30731.9, 91566.1, -9032.61, -70029.5, -56640.6
1821, 101798, 31281.2, -93282.1, 26130, 295807, 223462, -192913, 13155.7, 244258, -147344, 193095, 3415.09, 130171, -92903.9, 51264, -74682.9, 117997, 70496.6, -64820.5, 67788, 27538.4, -3424.38, 25883.3, 7897.36
1823, 47870.7, 13792.3, 42828.3, -16343.3, 59488.9, -750.872, -55907, 17836.8, 49529.4, 27966.4, -19936.9, -35110, 76008.6, -64108.1, 25356.6, 30688.9, 68288.1, 26791.7, 47916.2, 39284.3, 146501, -35579.5, 5102.23, 141644
1838, 141304, -16444, 131334, -49473.1, 36973.2, -21882.1, -28757.8, -3822.62, 132762, 14052.4, -31239.5, 128154, 197792, -49331.2, -147956, 120703, 133429, -60067, 46778.6, 108526, 78837.8, 64556.5, 20498.4, 39559.4
1841, 86444.9, -7931.1, 83760.4, 19849.3, 481268, 110106, -30023.2, -467463, 87457.8, -85278.7, 14944.9, -2169.82, 607231, 25343, -262882, 546453, 261749, -57187.4, 95078.4, 236828, 73392.5, 25746.1, 30188.8, -61198.9
1856, 34908.9, -7353.86, -26496.1, 21505.8, 72108.5, 53382.4, -21266.7, -42754.8, 69791.5, 42456.1, 6414.11, -54878.3, 131038, -44695.9, 40462.8, -116249, 62910.8, -58982.3, 60.6323, -19812.6, 100796, -40692.7, -33996.1, -85518.4
1888, 47397, 2478.54, -45461.1, -13176.1, 114081, -99850, -52324.8, 11089.8, 80572.7, 42966.1, 63329.4, -23809, 78749.9, 65904.4, 4938.15, 40656.9, 94267.1, -32526, -43925.2, 75630, 205451, -13249.1, 39221.2, 201165
1891, 136218, -39480.6, 57958.7, 116779, 115007, -62022.1, 94850, -16082.6, 35810.2, 34277.2, 3938.31, 7690.84, 63681.8, 43951.8, -36701.1, 25488.1, 115361, 4655.26, -39600.5, -108129, 72104.5, 33452.6, -9949.4, -62917.2
1896, 78737.5, -30661.2, 26385.1, -67552.2, 65525.3, 8532.84, -50460, 40180.2, 36305, -11634, 32815, 8976.66, 96871.5, 78938.8, 28305.5, 47006.6, 78924.7, -51390.3, 36366.3, 46898.5, 43342.9, 24487.6, 22991.1, -26873.4
1922, 134197, -60168.6, 1785.1, 119939, 129524, 51027.3, -73118.6, -93450.9, 66251.3, 36678.9, -49640.3, 22435.5, 193168, 133873, -23418.5, -136419, 115954, -110661, 156.155, 27006.2, 87083.2, 29199.5, 40943.1, 70743.3
1923, 28956.6, -18005.4, 22272.1, -4269.89, 175123, -137555, -89668.2, -59363.8, 150913, 40049, 124355, 74974.7, 72005.2, -6015.51, -66839.6, 24874.3, 50982.9, 14376.9, -40072.8, -27138.6, 55337.4, -27466.1, -11509.8, 46323.8
1939, 64713.6, 52335.5, -4701.85, 37772, 143421, -136972, -18701.7, -37216.4, 99131.1, 55548.4, -58333.7, 57479.6, 240435, -6268.08, 78882.2, 226376, 81785.7, -32969.2, -69203.2, -27074, 220462, 1590.96, 38693, 216983
1962, 95108.9, -61024.6, 2881.78, -72893, 136432, 54257.5, 19314.2, -123408, 68169.1, 41411.2, -37397.9, -38338.9, 35899.7, 27646.4, 18181.9, -12591.3, 34533.9, 6742.28, 31946.8, -10320.1, 109946, -24619.9, 20211.9, -105071
1965, 280318, -4237.98, -48883.9, -275990, 242972, 196095, -116118, -81819.5, 256810, 57333.8, -48478.2, -245445, 794121, -133347, 152628, -767647, 47550.1, 17448.2, -42983.9, -9483.4, 138685, 14386.2, 27488.2, 135107
1968, 295300, 14087.4, -49704.5, 290746, 80217.8, -18055.2, 43431.9, 64716.3, 124470, -11818.4, 30379.6, 120021, 100022, 66863.9, -51767.3, 51783.5, 284061, -3879.71, 46677.6, 280148, 112400, 3668.59, -35302.2, 106497
1982, 99679.5, 32040.7, -68044.5, 65416.6, 74341.3, 27799.8, -45637.9, -51128.8, 34396.7, -1387.67, 33821.4, -3107.58, 119068, -34704.2, 99797.7, 52831.8, 79943.9, -19413.3, -61476.2, 46429.9, 36187.3, 28136.3, -5290.25, 21357.3
1993, 132359, 5775.16, -90557.2, -96357.7, 222238, 25232.6, -100076, -196326, 55267.1, 29825.3, 31790.9, -33055, 213057, -76413.8, 175763, -91709.5, 81587.1, -64886.7, 46373.4, -16316.4, 114149, 19318.2, 15996.1, -111266
2007, 200972, -24933.5, -165994, 110516, 81343.8, -62140, 37856.7, 33777.9, 50183.7, -42544.4, -20098.8, -15001.3, 180294, 26473.7, 142698, -105430, 131181, 71383.8, 23174.7, 107234, 95274.7, -15795.1, 30668.7, 88693
2022, 245478, 54904.5, 51242.2, 233707, 77992.5, 34444.3, 67832.9, 14424.9, 179761, -15501.8, -50677.3, 171583, 159061, -16488.5, 52159.4, 149308, 48334.2, 25199.6, -33811.5, 23300, 101546, 35440.6, -11552.8, 94322.5
2032, 59093.3, -50830.7, -12422.3, 27457.9, 336913, 90295.9, -82406.8, 313394, 58254.9, 12788.8, -46222.5, 32311.7, 333537, -43947.7, 323267, 67163.7, 529784, -33803.4, -256427, 462106, 95332.3, 61692.8, 12001.8, -70890.1
2064, 62279.7, -48284.6, 34512.2, -18874.8, 88421.9, 37592.5, 72778, 29690.7, 61104.4, -20264.9, -56148.3, -7603.21, 76961, 15580.3, -73383.4, 10695.8, 158958, -34103.1, 3660.23, -155128, 34638.5, 32131.9, -10722.7, 480.191
2077, 119558, -26802, -10616.2, 116030, 106523, -66672.8, 37220.6, 72508.6, 102471, 3259.92, -47317.1, 90571.4, 134363, -32465.8, 71707.1, -108304, 68994.2, 16426.2, -58519.2, 32615.2, 58121, 47240.4, -16012.6, -28581.3
2086, 92825.2, 41051, -16739.9, -81554.3, 72968.5, -32532.3, -21752, -61176.2, 160447, 20683.5, -30039.5, -156144, 171324, -23477.6, 53274.1, -161012, 278895, 39039.3, 38812.4, -273180, 109481, 10137.5, 28703.3, -104961
2087, 51243.6, -36824.5, 31270.1, -17088.9, 199684, 136568, 144774, 4968.36, 74030.8, -30982.1, -38828.8, 54492.8, 93806.1, 88061.4, 30684.5, 5705.57, 188226, -12278.4, -47368.5, 181618, 34029.8, 15751.7, -29125.7, 6978.56
2088, 94147.8, 85571.1, -10195.7, 37913.4, 87531.5, -83139.6, 8423.08, -24084.6, 127682, -8842.01, 25133.8, 124777, 271325, -145621, -88494.4, -211001, 64717.9, 39919.1, -26634.7, -42256.4, 40222.8, 25038.4, 30720.2, -2832.31
2095, 59469.6, 50406.7, -23519.5, 21038.3, 57951.1, -9074.81, 44496.7, -35280, 56899.5, -26553.6, -36348.5, 33596.7, 91415.4, 86573.4, 14098, -24260.5, 67223, -45871.4, 19523.7, 44482.7, 69023.2, -28510.8, 15305.7, 60557.2
2096, 155381, 14707.2, 54036, 144938, 216678, -93507.3, -12077.2, 194351, 223902, 58758.1, -19534.4, 214977, 351839, 2125.5, 72442.2, 344231, 69252, -1660.52, -49976.8, 47634.2, 31137.7, 8308.57, -29581.1, -3248.86
2130, 47882.5, 47106.1, 2867.8, 8094.24, 366431, -250152, -130654, 229061, 193350, 117287, 139798, -61586.5, 233805, 84101.2, 45026.2, -212976, 92108.4, -42871.1, -26262.1, 76934.2, 32654.2, -17727.2, -25661.1, -7431.17
2139, 120416, -114599, 32464.2, 17696.4, 115444, 13574.8, -93164.8, 65454.2, 39416.9, 32797.2, 13570.9, 16061.4, 240273, 30176, 41284.4, 234603, 101135, -6116.61, 38861.8, 92903.4, 40852.6, 6557.97, 26935.3, -29339.6
2140, 55643.4, 52201.8, -13360.5, 13879.6, 164272, 19190.7, -134613, -91661.4, 94673.6, 34510, 25063.4, -84163.4, 270504, -121736, 64180.1, 232056, 128356, -4400.23, 33692.8, -123411, 35458.4, -22430.1, 15106.8, 22357.6
2145, 131063, 2861.77, 62478.9, -115177, 195122, -57329.9, -47149.8, -180261, 66125.2, 20163, -62461.1, -1928.96, 217290, 90077.4, 26678.4, 195455, 271120, -39451, 32573.3, -266040, 64153.4, 48558.8, -9327.24, 40067.3
2168, 45000.3, -3037.69, 29041.7, -34239.9, 267722, -91683.8, 12924.5, -251170, 71173.5, 61322.1, -34694, -18.2157, 116866, 87132.6, 51004.6, -56827.1, 140381, 11159, -56531, -127868, 56513.8, 22362.2, 50901.3, -6145.05
2234, 114061, 8266, -110868, 25495.6, 480986, -18857.7, 341115, 334062, 172033, 1428.47, -158430, -65621.1, 106551, -35918.2, 83347.3, 55277.6, 152284, -51514.5, -38665.6, 137712, 39233.9, 24553.6, 16357.4, 25190.4
2236, 214429, -48915.3, 17661.4, -208027, 745202, -124189, 135536, -722009, 62017.1, 40320.9, 19113.6, 42613.4, 142206, 99455.9, -94420.6, -30061.7, 60346, 3720.32, -59079.7, -8864.69, 32959.2, -19228.3, 21064.9, 15349.2
2257, 71821.9, 37448.9, -23130.4, -56753.3, 143410, -94399.3, -91647.5, -56774.2, 100993, -27166.7, 89069.3, -36116.5, 731076, -15312.2, 190394, -705490, 70402.5, 44555.9, -50954.6, 17110.4, 165008, 41380.1, -17533, 158620
2258, 216782, -58040.1, 8740.01, 208685, 183363, 67040.1, -33967.7, 166852, 63928.7, -33443, 28977.2, 45525.2, 158016, -73934.1, -60607.6, -125145, 288009, 62337.4, 12200.9, 280715, 50444, -33889.3, -3628.93, -36689.5
2304, 240038, 98470.7, 113101, 187430, 77864.5, -56274, 34792.2, 39703, 59786.6, -13176.4, -23156, 53311.1, 75023.7, -44894.7, -45384.4, -38999.3, 75007.5, -8207.47, -60849.6, -42282.4, 91187.9, -42486.9, 30995.7, -74254.8
2309, 46697.4, 9109.69, 37546.4, 26228.1, 76007.5, -4549.07, -74541.4, 1268.93, 86114.4, 45771.2, -22117.6, -68994, 102636, -80633.9, 60258.2, 16748.2, 65441.1, -36753.5, -35227.2, -39712.9, 43155.3, -5214.16, 42066.3, -5800.36
2316, 70138.6, 21411.2, 60311.9, -28695.7, 84858.1, -63275, 8738.47, -55140.8, 301719, -36585.4, -39385.7, -296779, 213045, 48311.3, -86799, -188034, 98931.4, -37692.1, 8965.12, -90687.9, 113775, 20386.5, -21714, 109711
2320, 81332.9, 52724.8, 58585.1, 20072.7, 69609.9, -21661.3, 64354.1, -11196.7, 57316.5, -53040.5, 8036.17, 18806, 203473, -43824.1, -155325, -123296, 56960, -7003.34, 31950.4, 46446.6, 32374.6, -28517.7, -11775.9, 9058.25
2323, 66912.8, 41031.1, 22564.3, -47797.6, 74286.4, 53577.4, -38357.9, 33142.8, 129746, 31292.5, 44529.8, 117541, 243291, -101016, -23053, 219829, 49018.3, -36266.1, 21604.1, 23741.3, 97864, -13813, 25700.2, -93238.9
2331, 42788.1, 38572.1, -10456.8, 15285.9, 108534, -93266.8, -1858.23, -54814.9, 75474.2, 13266.1, 72108.4, -16764.3, 312870, 69961.7, -61950, -298347, 53400.8, -18157.2, 48517.1, 11109.8, 48837.9, 32253.8, -14558.8, 33239.1
